route,grade,grade_band,discipline,grade_system,area,wall,source,latitude,longitude,row_key,notion_page_id,status,coord_source
4einhalb,6b+,Boulder,boulder,Font,Bucklige Welt,Black Metal,Keltenkalk,47.65241,16.139402,Bucklige Welt | Black Metal | 4einhalb,,in Notion DB,outdooractive: Bucklige Welt / Black Metal Block (272950208)
Sportlocke,6/6+,5-7,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Sportlocke,,in Notion DB,OSM exact: Roter Ofen
Sprengmeister,7/7+,5-7,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Sprengmeister,,in Notion DB,OSM exact: Roter Ofen
Steinerdiagonale,4,1-4,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Steinerdiagonale,,in Notion DB,OSM exact: Roter Ofen
Südwestkante,6+,5-7,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Südwestkante,,in Notion DB,OSM exact: Roter Ofen
Terrassensteig,5-,5-7,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Terrassensteig,,in Notion DB,OSM exact: Roter Ofen
Variante,5,5-7,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Variante,,in Notion DB,OSM exact: Roter Ofen
Wasserlauf,5+,5-7,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Wasserlauf,,in Notion DB,OSM exact: Roter Ofen
Wespenriss,7-,5-7,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Wespenriss,,in Notion DB,OSM exact: Roter Ofen
Wespentanz,5,5-7,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Wespentanz,,in Notion DB,OSM exact: Roter Ofen
Zwerg Hinkebein,3,1-4,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Zwerg Hinkebein,,in Notion DB,OSM exact: Roter Ofen
Zwerg Nase,2,1-4,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Zwerg Nase,,in Notion DB,OSM exact: Roter Ofen
Zwergeneck,4,1-4,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Zwergeneck,,in Notion DB,OSM exact: Roter Ofen
Zwergensprung,2,1-4,sport,UIAA,Lindkogel,Roter Ofen,Keltenkalk,48.090026,16.238521,Lindkogel | Roter Ofen | Zwergensprung,,in Notion DB,OSM exact: Roter Ofen
Arbeitslosensteig,5-,5-7,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Arbeitslosensteig,,in Notion DB,theCrag: Lindkogel (4481750199)
Backyard,6b,Boulder,boulder,Font,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Backyard,,in Notion DB,theCrag: Lindkogel (4481750199)
Cafemungo,9-/9,8-11,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Cafemungo,,in Notion DB,theCrag: Lindkogel (4481750199)
Diagonale,4+,1-4,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Diagonale,,in Notion DB,theCrag: Lindkogel (4481750199)
Edelweiss Steig,6+,5-7,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Edelweiss Steig,,in Notion DB,theCrag: Lindkogel (4481750199)
Glatte Platte,6+/7-,5-7,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Glatte Platte,,in Notion DB,theCrag: Lindkogel (4481750199)
Nr 1,8-,8-11,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Nr 1,,in Notion DB,theCrag: Lindkogel (4481750199)
Nr 2,8-,8-11,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Nr 2,,in Notion DB,theCrag: Lindkogel (4481750199)
Pfeilerverschneidung,4,1-4,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Pfeilerverschneidung,,in Notion DB,theCrag: Lindkogel (4481750199)
Quartettsteig (1a),5,5-7,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Quartettsteig (1a),,in Notion DB,theCrag: Lindkogel (4481750199)
Wandl mit Riss,4+,1-4,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Wandl mit Riss,,in Notion DB,theCrag: Lindkogel (4481750199)
Weg der Überhänge,5-,5-7,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Weg der Überhänge,,in Notion DB,theCrag: Lindkogel (4481750199)
Weisser Pfeiler,7-,5-7,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | Weisser Pfeiler,,in Notion DB,theCrag: Lindkogel (4481750199)
White Crack,7,5-7,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | White Crack,,in Notion DB,theCrag: Lindkogel (4481750199)
White Reality,7+,5-7,sport,UIAA,Lindkogel,Weisses Kreuz,Keltenkalk,47.991785,16.135226,Lindkogel | Weisses Kreuz | White Reality,,in Notion DB,theCrag: Lindkogel (4481750199)
Bier fia'n Hias,6,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Bier fia'n Hias,,in Notion DB,OSM exact: Efeugrat
Black Shadow on the Wall,8-,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Black Shadow on the Wall,,in Notion DB,OSM exact: Efeugrat
Co - KG,7,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Co - KG,,in Notion DB,OSM exact: Efeugrat
Dechant Müller,7,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Dechant Müller,,in Notion DB,OSM exact: Efeugrat
Der Galgen,5,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Der Galgen,,in Notion DB,OSM exact: Efeugrat
Diagonalriss,7,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Diagonalriss,,in Notion DB,OSM exact: Efeugrat
Diagonalverschneidung,6-,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Diagonalverschneidung,,in Notion DB,OSM exact: Efeugrat
Direkter Galgen,5+,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Direkter Galgen,,in Notion DB,OSM exact: Efeugrat
Direkter Hias,7+,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Direkter Hias,,in Notion DB,OSM exact: Efeugrat
Dornröschen,9,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Dornröschen,,in Notion DB,OSM exact: Efeugrat
Efeu Ade,4,1-4,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Efeu Ade,,in Notion DB,OSM exact: Efeugrat
Eiertanz,7,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Eiertanz,,in Notion DB,OSM exact: Efeugrat
Ein Herz für Anfänger,4,1-4,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Ein Herz für Anfänger,,in Notion DB,OSM exact: Efeugrat
Ernas Angst,6,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Ernas Angst,,in Notion DB,OSM exact: Efeugrat
Federnelkenweg,6+,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Federnelkenweg,,in Notion DB,OSM exact: Efeugrat
Fingerbeisser,8/8+,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Fingerbeisser,,in Notion DB,OSM exact: Efeugrat
Fuck Head,8+/9-,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Fuck Head,,in Notion DB,OSM exact: Efeugrat
Kamin,4,1-4,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Kamin,,in Notion DB,OSM exact: Efeugrat
Kantenflug,6+,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Kantenflug,,in Notion DB,OSM exact: Efeugrat
Luis,7-,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Luis,,in Notion DB,OSM exact: Efeugrat
Mashiwo,9,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Mashiwo,,in Notion DB,OSM exact: Efeugrat
Nr 3,9-,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Nr 3,,in Notion DB,OSM exact: Efeugrat
Nr 37,2,1-4,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Nr 37,,in Notion DB,OSM exact: Efeugrat
Nähmaschine,6,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Nähmaschine,,in Notion DB,OSM exact: Efeugrat
Nähmaschinenfusserl,7+/8-,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Nähmaschinenfusserl,,in Notion DB,OSM exact: Efeugrat
Play,9-,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Play,,in Notion DB,OSM exact: Efeugrat
Rampe,4,1-4,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Rampe,,in Notion DB,OSM exact: Efeugrat
Rechtsdrall,7,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Rechtsdrall,,in Notion DB,OSM exact: Efeugrat
Sarkas Prüfung,4+,1-4,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Sarkas Prüfung,,in Notion DB,OSM exact: Efeugrat
Schlange,8-,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Schlange,,in Notion DB,OSM exact: Efeugrat
Schroffenweg,4,1-4,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Schroffenweg,,in Notion DB,OSM exact: Efeugrat
Schweisstreiber,9-,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Schweisstreiber,,in Notion DB,OSM exact: Efeugrat
Snöf,7-,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Snöf,,in Notion DB,OSM exact: Efeugrat
Sondereinsatz,10-,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Sondereinsatz,,in Notion DB,OSM exact: Efeugrat
Variante,6+,5-7,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Variante,,in Notion DB,OSM exact: Efeugrat
Verschneidung,4,1-4,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Verschneidung,,in Notion DB,OSM exact: Efeugrat
Winkler Empor,8,8-11,sport,UIAA,Mödling,Efeugrat,Keltenkalk,48.080646,16.270495,Mödling | Efeugrat | Winkler Empor,,in Notion DB,OSM exact: Efeugrat
Die Helden Sind Müde,6-,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Die Helden Sind Müde,,in Notion DB,OSM exact: Erikagrat
Erika Aktuell,6,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Erika Aktuell,,in Notion DB,OSM exact: Erikagrat
Erika Verschneidung,3,1-4,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Erika Verschneidung,,in Notion DB,OSM exact: Erikagrat
Gratüberschreitung,3+,1-4,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Gratüberschreitung,,in Notion DB,OSM exact: Erikagrat
Hausmeisterehepaar I.R.,6,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Hausmeisterehepaar I.R.,,in Notion DB,OSM exact: Erikagrat
I Am Solo,6+,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | I Am Solo,,in Notion DB,OSM exact: Erikagrat
Kaltfronterl,4+,1-4,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Kaltfronterl,,in Notion DB,OSM exact: Erikagrat
Kamin,3,1-4,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Kamin,,in Notion DB,OSM exact: Erikagrat
Listig,5+,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Listig,,in Notion DB,OSM exact: Erikagrat
Ozon Go Home,7-,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Ozon Go Home,,in Notion DB,OSM exact: Erikagrat
Pater Quirin Steig,2+,1-4,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Pater Quirin Steig,,in Notion DB,OSM exact: Erikagrat
Rennschnecke,7+,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Rennschnecke,,in Notion DB,OSM exact: Erikagrat
Rolfisteig,2+,1-4,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Rolfisteig,,in Notion DB,OSM exact: Erikagrat
Salzstangerl,8,8-11,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Salzstangerl,,in Notion DB,OSM exact: Erikagrat
Steig Genau,8-,8-11,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Steig Genau,,in Notion DB,OSM exact: Erikagrat
Steirerbua,6,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Steirerbua,,in Notion DB,OSM exact: Erikagrat
Sunshine,5+,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Sunshine,,in Notion DB,OSM exact: Erikagrat
Tiroler Bua,4+,1-4,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Tiroler Bua,,in Notion DB,OSM exact: Erikagrat
Wotan Wartet Nicht,8-,8-11,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Wotan Wartet Nicht,,in Notion DB,OSM exact: Erikagrat
Übung mit Erika,6+,5-7,sport,UIAA,Mödling,Erikagrat,Keltenkalk,48.081424,16.275497,Mödling | Erikagrat | Übung mit Erika,,in Notion DB,OSM exact: Erikagrat
Aids oder Geht's,6+,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Aids oder Geht's,,in Notion DB,OSM exact: Glocknergrat
Blauer Portugieser,6+,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Blauer Portugieser,,in Notion DB,OSM exact: Glocknergrat
Dornröschen,5+,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Dornröschen,,in Notion DB,OSM exact: Glocknergrat
Duo Links,6,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Duo Links,,in Notion DB,OSM exact: Glocknergrat
Duo Rechts,4,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Duo Rechts,,in Notion DB,OSM exact: Glocknergrat
Fiaker,6+,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Fiaker,,in Notion DB,OSM exact: Glocknergrat
Frühling,8-,8-11,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Frühling,,in Notion DB,OSM exact: Glocknergrat
Frühschoppen,6+/7-,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Frühschoppen,,in Notion DB,OSM exact: Glocknergrat
Gratüberschreitung,3+,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Gratüberschreitung,,in Notion DB,OSM exact: Glocknergrat
Kleiner Gerhard,8+/9-,8-11,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Kleiner Gerhard,,in Notion DB,OSM exact: Glocknergrat
Kleiner Hansi,6,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Kleiner Hansi,,in Notion DB,OSM exact: Glocknergrat
Kleiner Kurti,7-,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Kleiner Kurti,,in Notion DB,OSM exact: Glocknergrat
Locker vom Hocker,8-,8-11,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Locker vom Hocker,,in Notion DB,OSM exact: Glocknergrat
Neue Schreams'n,5,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Neue Schreams'n,,in Notion DB,OSM exact: Glocknergrat
Noch Einfacher,4+,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Noch Einfacher,,in Notion DB,OSM exact: Glocknergrat
Nr 20,6,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Nr 20,,in Notion DB,OSM exact: Glocknergrat
Nr 21 (keine Haken),6,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Nr 21 (keine Haken),,in Notion DB,OSM exact: Glocknergrat
Nr 26,4,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Nr 26,,in Notion DB,OSM exact: Glocknergrat
Nr 29,4,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Nr 29,,in Notion DB,OSM exact: Glocknergrat
Nr 8,4,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Nr 8,,in Notion DB,OSM exact: Glocknergrat
Pferdehölle,6,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Pferdehölle,,in Notion DB,OSM exact: Glocknergrat
Rote Spur,6+,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Rote Spur,,in Notion DB,OSM exact: Glocknergrat
Sommer,6+,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Sommer,,in Notion DB,OSM exact: Glocknergrat
The Edge,6+,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | The Edge,,in Notion DB,OSM exact: Glocknergrat
Variante,4,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Variante,,in Notion DB,OSM exact: Glocknergrat
Westwandplatte,3,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Westwandplatte,,in Notion DB,OSM exact: Glocknergrat
Winter,7+,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Winter,,in Notion DB,OSM exact: Glocknergrat
Winterriss,5,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Winterriss,,in Notion DB,OSM exact: Glocknergrat
Zeitgeisterfahrer,4+,1-4,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Zeitgeisterfahrer,,in Notion DB,OSM exact: Glocknergrat
Zu Einfach,6,5-7,sport,UIAA,Mödling,Glocknergrat,Keltenkalk,48.082238,16.276261,Mödling | Glocknergrat | Zu Einfach,,in Notion DB,OSM exact: Glocknergrat
Andi los mi owa,5+,5-7,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Andi los mi owa,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Blaubarschbubi,4+,1-4,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Blaubarschbubi,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Dancing Susi,6-,5-7,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Dancing Susi,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Ferdis Thron,5+,5-7,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Ferdis Thron,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Flitzer,5-,5-7,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Flitzer,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Flummi,4-,1-4,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Flummi,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Klettersteigrunde B,B,,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Klettersteigrunde B,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Nr 10,4+,1-4,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Nr 10,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Nr 7,5,5-7,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Nr 7,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Olé,5+,5-7,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Olé,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Prutschurdl,5,5-7,sport,UIAA,Mödling,Gumpoldskirchen,Keltenkalk,48.046052,16.269666,Mödling | Gumpoldskirchen | Prutschurdl,,in Notion DB,theCrag: Gumpoldskirchen (351310965)
Abendsonne,7,5-7,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Abendsonne,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Alfis Übung,8+,8-11,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Alfis Übung,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Asterix,6+/7-,5-7,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Asterix,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Au So Rauh,7-,5-7,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Au So Rauh,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Bergbaron,4+,1-4,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Bergbaron,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Bergführerriss,5+,5-7,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Bergführerriss,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Beyond the Edge,6b,Boulder,boulder,Font,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Beyond the Edge,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Das Omen,8,8-11,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Das Omen,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Die Letzten Beissen die Hunde,8-,8-11,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Die Letzten Beissen die Hunde,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Erstiegener,8-/8,8-11,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Erstiegener,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Excitation,9+,8-11,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Excitation,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Falten und Strecken,7,5-7,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Falten und Strecken,,in Notion DB,theCrag: Lausbubenwände (1456224435)
Gipfelausstieg,7/7+,5-7,sport,UIAA,Mödling,Lausbubenwand,Keltenkalk,48.080381,16.272178,Mödling | Lausbubenwand | Gipfelausstieg,,in Notion DB,theCrag: Lausbubenwände (1456224435)
