my_wall,route,my_grade,match,db_wall,db_grade,grade_differs,notion_page_id
Trenkerwand,Die Widerspenstige Zähmung,8-,new_not_in_db,,,,
Trenkerwand,Doctor and the Maniac,8,new_not_in_db,,,,
Trenkerwand,Flickflack,5,new_not_in_db,,,,
Trenkerwand,Frater Calidus,6,new_not_in_db,,,,
Trenkerwand,Grosser Überhang,7-,new_not_in_db,,,,
Trenkerwand,Hasi,4+,exists_in_db,Trenkerwand,4+,,3a921413-5351-8192-91d7-ebc452c412a6
Trenkerwand,Hengst,7-,new_not_in_db,,,,
Trenkerwand,Hildesteig,4,exists_in_db,Trenkerwand,4-,YES,3a921413-5351-810e-b7c8-fdd2d478b6cb
Trenkerwand,Hoffmannsteig,5+,new_not_in_db,,,,
Trenkerwand,Ingrid W. Verschneidung,6+,exists_in_db,Trenkerwand,6+,,3a921413-5351-81ee-ac8a-db15fa4aec44
Trenkerwand,Kaminverschneidung,4,new_not_in_db,,,,
Trenkerwand,Kottan,6,new_not_in_db,,,,
Trenkerwand,LBH-Riss,7,new_not_in_db,,,,
Trenkerwand,Linker Babykamin,4,new_not_in_db,,,,
Trenkerwand,Luis Trenker Verschneidung,6+,exists_in_db,Trenkerwand,6+,,3a921413-5351-81b5-b6e1-d66906f338c1
Trenkerwand,Marantana,8,new_not_in_db,,,,
Trenkerwand,Mausi,4,exists_in_db,Trenkerwand,4,,3a921413-5351-815a-a7c0-e4db35360c0f
Trenkerwand,Mordsvergnügen,8-,new_not_in_db,,,,
Trenkerwand,Mus Musculus,8-,new_not_in_db,,,,
Trenkerwand,Müsliman,6+,new_not_in_db,,,,
Trenkerwand,Nachschulung,5+,new_not_in_db,,,,
Trenkerwand,Neue Prommerlkante,7-,new_not_in_db,,,,
Trenkerwand,Othello,5,new_not_in_db,,,,
Trenkerwand,Palmkatzerl,6+,new_not_in_db,,,,
Trenkerwand,Pilch,6-,new_not_in_db,,,,
Trenkerwand,Prommerlkante,6,new_not_in_db,,,,
Trenkerwand,Quattro,4+,new_not_in_db,,,,
Trenkerwand,Ratti,5-,new_not_in_db,,,,
Trenkerwand,Rechter Babykamin,4-,new_not_in_db,,,,
Trenkerwand,Slip Slide Away,7-,exists_in_db,Trenkerwand,7-,,3a921413-5351-81d8-a780-f28308e74547
Trenkerwand,Spreizer,6,new_not_in_db,,,,
Trenkerwand,Steckenpferd,6,new_not_in_db,,,,
Trenkerwand,Teutscher Teutone,7-,new_not_in_db,,,,
Trenkerwand,Variante (Trenkerwand),6+,exists_in_db,Trenkerwand,6+,,3a921413-5351-816e-96e6-d7e49e83dad5
Trenkerwand,Vinzenz,6,new_not_in_db,,,,
Trenkerwand,Warrior,6,new_not_in_db,,,,
Trenkerwand,Wolfsblut,7+,exists_in_db,Trenkerwand,7+,,3a921413-5351-8106-89f6-e1e192da4846
Trenkerwand (Boulder),Detlef,5c,new_not_in_db,,,,
Trenkerwand (Boulder),Kiltap Namor,7a+,new_not_in_db,,,,
Trenkerwand (Boulder),La Glatt,6b+,new_not_in_db,,,,
Trenkerwand (Boulder),Lurch (Trenkerwand),5c,new_not_in_db,,,,
Trenkerwand (Boulder),Pick,6a+,new_not_in_db,,,,
Trenkerwand (Boulder),Tick,6b+,new_not_in_db,,,,
Trenkerwand (Boulder),Track,5b,new_not_in_db,,,,
Trenkerwand (Boulder),Trick,5b,new_not_in_db,,,,
Vogelwandl,Aasgeier,7+,new_not_in_db,,,,
Vogelwandl,Bachstelze,6,exists_in_db,Vogelwandl,6,,3a921413-5351-814d-8ad2-fb99665af72d
Vogelwandl,Buchfink,6+,exists_in_db,Vogelwandl,6+,,3a921413-5351-81fe-b8a8-db23f0a7864e
Vogelwandl,Condor,7+,new_not_in_db,,,,
Vogelwandl,Doppelte Arbeit,5+,new_not_in_db,,,,
Vogelwandl,Flamingo Road,7+,new_not_in_db,,,,
Vogelwandl,Geierwally,6,new_not_in_db,,,,
Vogelwandl,Grünspecht,6+,exists_in_db,Vogelwandl,6+,,3a921413-5351-8169-8aa2-c0127f30bd75
Vogelwandl,Kolibri,7-,exists_in_db,Vogelwandl,7-,,3a921413-5351-81d6-9694-d5f7e7c452b1
Vogelwandl,Mauerläufer (Vogelwandl),7-,exists_in_db,Vogelwandl,7-,,3a921413-5351-8183-908f-d826bfe9c17d
Vogelwandl,Nachtigall,7-,new_not_in_db,,,,
Vogelwandl,Outside,6-,new_not_in_db,,,,
Vogelwandl,Pfeilerriss,5-,new_not_in_db,,,,
Vogelwandl,Sally,7-/7,new_not_in_db,,,,
Vogelwandl,Schnapsdrossel,7+,new_not_in_db,,,,
Vogelwandl,Schwanenhals,6,new_not_in_db,,,,
Vogelwandl,Spatzenhirn,5+,exists_in_db,Vogelwandl,5+,,3a921413-5351-812c-9b13-ded89e25adc9
Vogelwandl,Stieglitz,5-,exists_in_db,Vogelwandl,5-,,3a921413-5351-81a6-b2ac-c80aa0367975
Vogelwandl,Variante (Vogelwandl),6/6+,exists_in_db,Vogelwandl,6/6+,,3a921413-5351-817c-af96-f1c3da52d701
Vogelwandl,Vogel Roch,7-/7,new_not_in_db,,,,
Vogelwandl,Vogelverschneidung,3+,new_not_in_db,,,,
Vogelwandl,Vogerltanz Direkt,6,exists_in_db,Vogelwandl,6-,YES,3a921413-5351-81c1-8edd-e8753a8da4bb
Vogelwandl,Vögeln erlaubt,6+,exists_in_db,Vogelwandl,6+,,3a921413-5351-8155-b64c-dc313c039d8c
Vogelwandl,Wiedehopf,4+,new_not_in_db,,,,
Zwergwandl,Aalglatt,8,exists_in_db,Zwergwandl,8,,3a921413-5351-8108-8703-f538ebdd3186
Zwergwandl,Bumble Bee,6-,exists_in_db,Zwergwandl,6-,,3a921413-5351-8164-beeb-cd01cad418a9
Zwergwandl,Easy Rider (Zwergwandl),6+,exists_in_db,Zwergwandl,6+,,3a921413-5351-8192-880c-df3a9d64b7cd
Zwergwandl,Fallschnee,8-,exists_in_db,Zwergwandl,8-,,3a921413-5351-814a-bdec-c53b13069587
Zwergwandl,Greenhorn,7-,exists_in_db,Zwergwandl,7-,,3a921413-5351-819c-afc0-f3d5d400329b
Zwergwandl,Leutnant Webri,7+/8-,exists_in_db,Zwergwandl,7+/8-,,3a921413-5351-81d4-b938-df93e95369b5
Zwergwandl,Moonlightning,6-,exists_in_db,Zwergwandl,6-,,3a921413-5351-817c-9ec5-f9d2516e371d
Zwergwandl,Nichts für schwache Geister,8-,exists_in_db,Zwergwandl,8-,,3a921413-5351-81da-8c29-f7894fb8018d
Zwergwandl,Schneewitwe,6,exists_in_db,Zwergwandl,6,,3a921413-5351-813d-becd-e78d5762226c
Zwergwandl,Seven Pointed Ladybird,4+,exists_in_db,Zwergwandl,4+,,3a921413-5351-810b-815c-fd159ed7532b
Zwergwandl,Stand up and Fight,7,exists_in_db,Zwergwandl,7,,3a921413-5351-8164-bcac-eb0174788c7e
Zwergwandl,Verschneidung (Zwergwandl),4+,exists_in_db,Zwergwandl,4+,,3a921413-5351-81f0-ac0b-c48baa29322d
Zwergwandl,Zwergenfalle,8,exists_in_db,Zwergwandl,8-,YES,3a921413-5351-817a-b826-d60474d79c34
Zwergwandl (Boulder),Arschglatt,6b+,exists_in_db,Zwergwandl,6b+,,3a921413-5351-8112-bb63-d36d470b40e9
Zwergwandl (Boulder),Fingerbeisser,6b+,exists_in_db,Zwergwandl,6b+,,3a921413-5351-8137-9c2c-e0ee4e9e815c
Zwergwandl (Boulder),Glattarsch,5c,exists_in_db,Zwergwandl,5c,,3a921413-5351-81c5-bfa0-c2baedc3e81d
Zwergwandl (Boulder),Mooszwerg,4a,exists_in_db,Zwergwandl,4a,,3a921413-5351-81a1-9930-f5c61a1ac670
Zwergwandl (Boulder),Zwergdiagonale,5a,exists_in_db,Zwergwandl,5a,,3a921413-5351-8156-bbac-df6a429dda30
Ötzi,Orange Crush,9+/10-,new_not_in_db,,,,
Ötzi,Orange Crush Rechts,9+,new_not_in_db,,,,
Ötzi,Saskari,7-,new_not_in_db,,,,
Ötzi (Boulder),Auf's Loch Retour,7a,new_not_in_db,,,,
Ötzi (Boulder),Aufwärmrunde,4b,new_not_in_db,,,,
Ötzi (Boulder),Edzy,3,new_not_in_db,,,,
Ötzi (Boulder),For Good Shoes,6c+,new_not_in_db,,,,
Ötzi (Boulder),Langfinger,7b+,new_not_in_db,,,,
Ötzi (Boulder),Mily,5a,new_not_in_db,,,,
Ötzi (Boulder),Nervenkanal,6b+,new_not_in_db,,,,
Ötzi (Boulder),Ötzi,7a,new_not_in_db,,,,
